0000 [力Lv1]
B800 [命中補正無視]
B900 [絶対命中]
BA00 [防御速度Lv1]
BB00 [防御速度Lv2]
BC00 [移動速度Lv1]
BD00 [移動速度Lv2]
BE00 [移動速度Lv3]
BF00 [移動速度Lv4]
C000 [移動速度Lv5]
C100 [攻撃速度Lv1]
C200 [攻撃速度Lv2]
C300 [攻撃速度Lv3]
C400 [薬回復Lv1]
C500 [薬回復Lv2]
C600 [薬回復Lv3]
C700 [CP減少速度Lv1]
C800 [CP減少速度Lv2]
C900 [CP減少速度Lv3]
CA00 [火属性攻撃Lv1]
CB00 [火属性攻撃Lv2]
CC00 [火属性攻撃Lv3]
CD00 [火属性攻撃Lv4]
CE00 [火属性攻撃Lv5]
CF00 [火属性攻撃Lv6]
D000 [火属性攻撃Lv7]
D100 [火属性攻撃Lv8]
D200 [火属性攻撃Lv9]
D300 [火属性攻撃Lv10]
D400 [水属性攻撃Lv1]
D500 [水属性攻撃Lv2]
D600 [水属性攻撃Lv3]
D700 [水属性攻撃Lv4]
D800 [水属性攻撃Lv5]
D900 [水属性攻撃Lv6]
DA00 [水属性攻撃Lv7]
DB00 [水属性攻撃Lv8]
DC00 [水属性攻撃Lv9]
DD00 [水属性攻撃Lv10]
DE00 [風属性攻撃Lv1]
DF00 [風属性攻撃Lv2]
E000 [風属性攻撃Lv3]
E100 [風属性攻撃Lv4]
E200 [風属性攻撃Lv5]
E300 [風属性攻撃Lv6]
E400 [風属性攻撃Lv7]
E500 [風属性攻撃Lv8]
E600 [風属性攻撃Lv9]
E700 [風属性攻撃Lv10]
E800 [土属性攻撃Lv1]
E900 [土属性攻撃Lv2]
EA00 [土属性攻撃Lv3]
EB00 [土属性攻撃Lv4]
EC00 [土属性攻撃Lv5]
ED00 [土属性攻撃Lv6]
EE00 [土属性攻撃Lv7]
EF00 [土属性攻撃Lv8]
F000 [土属性攻撃Lv9]
F100 [土属性攻撃Lv10]
F200 [光属性攻撃Lv1]
F300 [光属性攻撃Lv2]
F400 [光属性攻撃Lv3]
F500 [光属性攻撃Lv4]
F600 [光属性攻撃Lv5]
F700 [光属性攻撃Lv6]
F800 [光属性攻撃Lv7]
F900 [光属性攻撃Lv8]
FA00 [光属性攻撃Lv9]
FB00 [光属性攻撃Lv10]
FC00 [闇属性攻撃Lv1]
FD00 [闇属性攻撃Lv2]
FE00 [闇属性攻撃Lv3]
FF00 [闇属性攻撃Lv4]
0001 [闇属性攻撃Lv5]
0101 [闇属性攻撃Lv6]
0201 [闇属性攻撃Lv7]
0301 [闇属性攻撃Lv8]
0401 [闇属性攻撃Lv9]
0501 [闇属性攻撃Lv10]
0601 [HP吸収Lv1]
0701 [HP吸収Lv2]
0801 [HP吸収Lv3]
0901 [HP吸収Lv4]
0A01 [CPボーナスLv1]
0B01 [CPボーナスLv2]
0C01 [CPボーナスLv3]
0D01 [CPボーナスLv4]
0E01 [敵逃亡]
0F01 [ノックアウト]
1001 [即死Lv1]
1101 [即死Lv2]
1201 [武器破壊Lv1]
1301 [武器破壊Lv2]
1401 [防具破壊Lv1]
1501 [防具破壊Lv2]
1601 [コールドLv1]
1701 [コールドLv2]
1801 [フリーズLv1]
1901 [フリーズLv2]
1A01 [暗闇]
1B01 [スタン]
1C01 [石化Lv1]
1D01 [石化Lv2]
1E01 [混乱Lv1]
1F01 [混乱Lv2]
2001 [眠り]
2101 [魅了Lv1]
2201 [魅了Lv2]
2301 [ターゲット固定]
2401 [知能低下]
2501 [狂気]
2601 [火属性抵抗Lv1]
2701 [火属性抵抗Lv2]
2801 [火属性抵抗Lv3]
2901 [火属性抵抗Lv4]
2A01 [火属性抵抗Lv5]
2B01 [火属性抵抗Lv6]
2C01 [水属性抵抗Lv1]
2D01 [水属性抵抗Lv2]
2E01 [水属性抵抗Lv3]
2F01 [水属性抵抗Lv4]
3001 [水属性抵抗Lv5]
3101 [水属性抵抗Lv6]
3201 [風属性抵抗Lv1]
3301 [風属性抵抗Lv2]
3401 [風属性抵抗Lv3]
3501 [風属性抵抗Lv4]
3601 [風属性抵抗Lv5]
3701 [風属性抵抗Lv6]
3801 [土属性抵抗Lv1]
3901 [土属性抵抗Lv2]
3A01 [土属性抵抗Lv3]
3B01 [土属性抵抗Lv4]
3C01 [土属性抵抗Lv5]
3D01 [土属性抵抗Lv6]
3E01 [光属性抵抗Lv1]
3F01 [光属性抵抗Lv2]
4001 [光属性抵抗Lv3]
4101 [光属性抵抗Lv4]
4201 [光属性抵抗Lv5]
4301 [光属性抵抗Lv6]
4401 [闇属性抵抗Lv1]
4501 [闇属性抵抗Lv2]
4601 [闇属性抵抗Lv3]
4701 [闇属性抵抗Lv4]
4801 [闇属性抵抗Lv5]
4901 [闇属性抵抗Lv6]
4A01 [全属性抵抗Lv1]
4B01 [全属性抵抗Lv2]
4C01 [全属性抵抗Lv3]
4D01 [全属性抵抗Lv4]
4E01 [火属性吸収Lv1]
4F01 [火属性吸収Lv2]
5001 [水属性吸収Lv1]
5101 [水属性吸収Lv2]
5201 [風属性吸収Lv1]
5301 [風属性吸収Lv2]
5401 [土属性吸収Lv1]
5501 [土属性吸収Lv2]
5601 [光属性吸収Lv1]
5701 [光属性吸収Lv2]
5801 [闇属性吸収Lv1]
5901 [闇属性吸収Lv2]
5A01 [全属性吸収Lv1]
5B01 [全属性吸収Lv2]
5C01 [フリーズ抵抗]
5D01 [コールド抵抗]
5E01 [スタン抵抗]
5F01 [混乱抵抗]
6001 [魅了抵抗]
6101 [石化抵抗]
6201 [即死抵抗]
6301 [毒抵抗]
6401 [眠り抵抗]
6501 [状態異常抵抗]
6601 [低下系抵抗]
6701 [呪い抵抗]
6801 [全異常抵抗]
6901 [後退転倒抵抗]
6A01 [致命打抵抗]
6B01 [決定打抵抗]
6C01 [攻撃反射Lv1]
6D01 [攻撃反射Lv2]
6E01 [攻撃反射Lv3]
6F01 [攻撃反射Lv4]
7001 [CP変換Lv1]
7101 [CP変換Lv2]
7201 [CP変換Lv3]
7301 [反射フリーズ]
7401 [反射コールド]
7501 [スキル名]
7601 [剣士]
7701 [騎士]
7801 [聖騎士]
7901 [戦士]
7A01 [剣闘士]
7B01 [勇者]
7C01 [研究生]
7D01 [魔法使い]
7E01 [大魔導師]
7F01 [闘犬]
8001 [牙狼]
8101 [銀狼]
8201 [司祭]
8301 [司教]
8401 [教主]
8501 [堕天使]
8601 [天使]
8701 [大天使]
8801 [盗人]
8901 [自由人]
8A01 [怪盗]
8B01 [格闘家]
8C01 [師範代]
8D01 [皆伝]
8E01 [狩人]
8F01 [射手]
9001 [魔弓兵]
9101 [義勇兵]
9201 [傭兵]
9301 [魔槍兵]
9401 [飼育者]
9501 [調教師]
9601 [団長]
9701 [精霊術士]
9801 [召喚士]
9901 [神獣使い]
9A01 [姫]
9B01 [王妃]
9C01 [女帝]
9D01 [修行中]
9E01 [アイドル]
9F01 [大スター]
A001 [交霊術士]
A101 [死霊術師]
A201 [神霊術師]
A301 [小悪魔]
A401 [魔人]
A501 [魔王]
A601 [達人]
A701 [名手]
A801 [大家]
A901 [RED STONE]
AA01 [応急処置]
AB01 [変身速度]
AC01 [HP回復]
AD01 [復活確率]
AE01 [不可視Lv1]
AF01 [不可視Lv2] 
B001 [浮遊]
B101 [魔法弾丸]
B201 [無限弾丸]
B301 [永久弾]
B401 [ターゲット回避]
B501 [魔具入手Lv1]
B601 [魔具入手Lv2]
B701 [魔具入手Lv3]
B801 [レア入手Lv1]
B901 [レア入手Lv2]
BA01 [レア入手Lv3]
BB01 [リロード速度]
BC01 [自動リロード]
BD01 [弱効果 力Lv1]
BE01 [弱効果 力Lv2]
BF01 [弱効果 敏捷Lv1]
C001 [弱効果 敏捷Lv2]
C101 [弱効果 健康Lv1]
C201 [弱効果 健康Lv2]
C301 [弱効果 知恵Lv1]
C401 [弱効果 知恵Lv2]
C501 [弱効果 知識Lv1]
C601 [弱効果 知識Lv2]
C701 [弱効果 威厳Lv1]
C801 [弱効果 威厳Lv2]
C901 [弱効果 運Lv1]
CA01 [弱効果 運Lv2]
CB01 [弱効果 武器攻撃]
CC01 [弱効果 最低攻撃]
CD01 [弱効果 最高攻撃]
CE01 [弱効果 防御効率]
CF01 [弱効果 防御力]
D001 [弱効果 最大HPLv1]
D101 [弱効果 最大HPLv2]
D201 [弱効果 最大CPLv1]
D301 [弱効果 最大CPLv2]
D401 [弱効果 火攻撃]
D501 [弱効果 水攻撃]
D601 [弱効果 風攻撃]
D701 [弱効果 土攻撃]
D801 [弱効果 火抵抗]
D901 [弱効果 水抵抗]
DA01 [弱効果 風抵抗]
DB01 [弱効果 土抵抗]
DC01 [弱効果 光抵抗]
DD01 [弱効果 闇抵抗]
DE01 [弱効果 毒抵抗]
DF01 [弱効果 眠り抵抗]
E001 [弱効果 CP変換]
E101 [弱効果 変身]
E201 [弱効果 補充速度]
E301 [破壊]
E401 [呪]
E501 [エンチャント不可]
E601 [火攻撃段階上昇]
E701 [水攻撃段階上昇]
E801 [風攻撃段階上昇]
E901 [土攻撃段階上昇]
EA01 [光攻撃段階上昇]
EB01 [闇攻撃段階上昇]
EC01 [力Lv1 DX]
ED01 [敏捷Lv1 DX]
EE01 [健康Lv1 DX]
EF01 [知恵Lv1 DX]
F001 [知識Lv1 DX]
F101 [威厳Lv1 DX]
F201 [運Lv1 DX]
F301 [力固定 DX]
F401 [敏捷固定 DX]
F501 [健康固定 DX]
F601 [知恵固定 DX]
F701 [知識固定 DX]
F801 [威厳固定 DX]
F901 [運固定 DX]
FA01 [攻撃力Lv1 DX]
FB01 [最低攻撃Lv1 DX]
FC01 [最高攻撃Lv1 DX]
FD01 [防御効率Lv1 DX]
FE01 [防御力Lv1 DX]
FF01 [HP効率Lv1 DX]
0002 [最大HPLv1 DX]
0102 [CP効率Lv1 DX]
0202 [最大CPLv1 DX]
0302 [CP減抑止Lv1 DX]
0402 [攻撃命中Lv1 DX]
0502 [攻撃回避Lv1 DX]
0602 [ブロックLv1 DX]
0702 [致命打率Lv1 DX]
0802 [移動速度Lv1 DX]
0902 [攻撃速度Lv1 DX]
0A02 [薬回復Lv1 DX]
0B02 [CP減速Lv1 DX]
0C02 [火攻撃Lv1 DX]
0D02 [水攻撃Lv1 DX]
0E02 [風攻撃Lv1 DX]
0F02 [土攻撃Lv1 DX]
1002 [光攻撃Lv1 DX]
1102 [闇攻撃Lv1 DX]
1202 [火抵抗Lv1 DX]
1302 [水抵抗Lv1 DX]
1402 [風抵抗Lv1 DX]
1502 [土抵抗Lv1 DX]
1602 [光抵抗Lv1 DX]
1702 [闇抵抗Lv1 DX]
1802 [全抵抗Lv1 DX]
1902 [火吸収Lv1 DX]
1A02 [水吸収Lv1 DX]
1B02 [風吸収Lv1 DX]
1C02 [土吸収Lv1 DX]
1D02 [光吸収Lv1 DX]
1E02 [闇吸収Lv1 DX]
1F02 [全吸収Lv1 DX]
2002 [状態系抵抗 DX]
2102 [低下系抵抗 DX]
2202 [呪い抵抗 DX]
2302 [全異常抵抗 DX]
2402 [後退抵抗 DX]
2502 [致命打抵抗 DX]
2602 [決定打抵抗 DX]
2702 [RED STONE DX]
2802 [応急処置 DX]
2902 [変身速度 DX]
2A02 [HP回復 DX]
2B02 [魔具入手Lv1 DX]
2C02 [レア入手Lv1 DX]
2D02 [リロード DX]
2E02 [スキルLv1 EX]
2F02 [スキルLv2 EX]
3002 [スキルLv3 EX]
3102 [スキルLv4 EX]
3202 [スキルLv5 EX]
3302 [サマナーLv1 EX]
3402 [サマナーLv2 EX]
3502 [サマナーLv3 EX]
3602 [サマナーLv4 EX]
3702 [サマナーLv5 EX]
3802 [ペットLv1 EX]
3902 [ペットLv2 EX]
3A02 [ペットLv3 EX]
3B02 [ペットLv4 EX]
3C02 [ペットLv5 EX]
3D02 [力Lv1 ULT]
3E02 [敏捷Lv1 ULT]
3F02 [健康Lv1 ULT]
4002 [知恵Lv1 ULT]
4102 [知識Lv1 ULT]
4202 [威厳Lv1 ULT]
4302 [運Lv1 ULT]
4402 [力固定 ULT]
4502 [敏捷固定 ULT]
4602 [健康固定 ULT]
4702 [知恵固定 ULT]
4802 [知識固定 ULT]
4902 [威厳固定 ULT]
4A02 [運固定 ULT]
4B02 [攻撃力Lv1 ULT]
4C02 [最低攻撃Lv1 ULT]
4D02 [最高攻撃Lv1 ULT]
4E02 [防御効率Lv1 ULT]
4F02 [防御力Lv1 ULT]
5002 [HP効率Lv1 ULT]
5102 [最大HPLv1 ULT]
5202 [CP効率Lv1 ULT]
5302 [最大CPLv1 ULT]
5402 [CP減抑止Lv1 ULT]
5502 [攻撃命中Lv1 ULT]
5602 [攻撃回避Lv1 ULT]
5702 [ブロックLv1 ULT]
5802 [致命打率Lv1 ULT]
5902 [移動速度Lv1 ULT]
5A02 [攻撃速度Lv1 ULT]
5B02 [薬回復Lv1 ULT]
5C02 [CP減速Lv1 ULT]
5D02 [火攻撃Lv1 ULT]
5E02 [水攻撃Lv1 ULT]
5F02 [風攻撃Lv1 ULT]
6002 [土攻撃Lv1 ULT]
6102 [光攻撃Lv1 ULT]
6202 [闇攻撃Lv1 ULT]
6302 [火抵抗Lv1 ULT]
6402 [水抵抗Lv1 ULT]
6502 [風抵抗Lv1 ULT]
6602 [土抵抗Lv1 ULT]
6702 [光抵抗Lv1 ULT]
6802 [闇抵抗Lv1 ULT]
6902 [全抵抗Lv1 ULT]
6A02 [火吸収Lv1 ULT]
6B02 [水吸収Lv1 ULT]
6C02 [風吸収Lv1 ULT]
6D02 [土吸収Lv1 ULT]
6E02 [光吸収Lv1 ULT]
6F02 [闇吸収Lv1 ULT]
7002 [全吸収Lv1 ULT]
7102 [状態系抵抗 ULT]
7202 [低下系抵抗 ULT]
7302 [呪い抵抗 ULT]
7402 [全異常抵抗 ULT]
7502 [後退抵抗 ULT]
7602 [致命打抵抗 ULT]
7702 [決定打抵抗 ULT]
7802 [RED STONE ULT]
7902 [応急処置 ULT]
7A02 [変身速度 ULT]
7B02 [HP回復 ULT]
7C02 [魔具入手Lv1 ULT]
7D02 [リロード ULT]
7E02 貸与してくれる
7F02 [RED ORB]
8002 [火属性強化]
8102 [水強化 DX]
8202 [火強化 ULT]
8302 [風属性強化]
8402 [水属性強化]
8502 [大地属性強化]
8602 [光属性強化]
8702 [闇属性強化]
8802 [全属性強化]
8902 [風強化 DX]
8A02 [大地強化 DX]
8B02 [光強化 DX]
8C02 [闇強化 DX]
8D02 [全強化 DX]
8E02 [火強化 DX]
8F02 [水強化 ULT]
9002 [風強化 ULT]
9102 [大地強化 ULT]
9202 [光強化 ULT]
9302 [闇強化 ULT]
9402 [全強化 ULT]
9502 [火属性低下]
9602 [水属性低下]
9702 [風属性低下]
9802 [大地属性低下]
9902 [光属性低下]
9A02 [闇属性低下]
9B02 [全属性低下]
9C02 [水低下 DX]
9D02 [風低下 DX]
9E02 [大地低下 DX]
9F02 [光低下 DX]
A002 [闇低下 DX]
A102 [全低下 DX]
A202 [火低下 DX]
A302 [火低下 ULT]
A402 [水低下 ULT]
A502 [風低下 ULT]
A602 [大地低下 ULT]
A702 [光低下 ULT]
A802 [闇低下 ULT]
A902 [全低下 ULT]
AA02 [残酷]
AB02 [名匠]
AC02 [憤怒]
AD02 [強固]
AE02 [覇気]
AF02 [精強]
B002 [俊敏]
B102 [壮健]
B202 [聡明]
B302 [利発]
B402 [厳粛]
B502 [幸運]
B602 [致命抵抗減少]
B702 [致命抵抗減少 DX]
B802 [致命抵抗減少 ULT]
B902 [ジェーソン]
BA02 [セリー]
BB02 [トゥンガ]
BC02 [ティレン]
BD02 [マファス]
BE02 [ハーソン]
BF02 [ジム・モリ]
C002 [アリエル]
C102 [サナ]
C202 [シュルト]
C302 [ケイルン]
C402 [タポ]
C502 [バイル]
C602 [オベ]
C702 [ニケ]
C802 [ペル]
C902 [ソラ]
CA02 [リラ]
CB02 [ガスピル]
CC02 [ガイルート]
CD02 [バルラレル]
CE02 [ロシペル]
CF02 [テマヌエル]
D002 [オニトルロ]
D102 [タニア]
D202 [ランディス]
D302 [ロングッシュ]
D402 [ジョン・マルコ]
