0000 ゴールド
DF00 氷の矢
E000 ショートスピア
E100 ロングスピア
E200 ウィングスピア
E300 コルセスカ
E400 超長槍
E500 ランス
E600 三枝槍
E700 二枝槍
E800 斧槍
E900 パルチザン
EA00 グレイプ
EB00 投げ槍
EC00 フィルルム
ED00 笛
EE00 クラリネット
EF00 オーボエ
F000 リコーダ
F100 葉っぱ笛
F200 竹笛
F300 スリング
F400 布製スリング
F500 レザー製スリング
F600 ラバースリング
F700 チェーンスリング
F800 ファイアーボトル
F900 アイスボトル
FA00 ポイズンボトル
FB00 石弾
FC00 鉄弾
FD00 爆弾
FE00 棒
FF00 タクト
0001 スペシャルタクト
0101 マジカルマイク
0201 クラウンワンド
0301 レザーウィップ
0401 リヴェットウィップ
0501 チェーンウィップ
0601 ブレードウィップ
0701 ファイアーウィップ
1301 セッティング原石
1401 セッティング宝石
1501 セッティング貴金属
1601 亜空間ボックス
1801 必勝バンダナ
1901 クリムソンハット
1A01 スカルスタック
1B01 アルファキャップ
1C01 デンスフォーグ
1D01 ダークバイザー
1E01 ルシッドヘルム
1F01 アメジスティ
2001 首席合格の冠
2101 天の栄光
2201 地上の権勢
2301 フォームガード
2401 ハンズオブアドバサリー
2501 お父さんの手
2601 マスグリップ
2701 ラッククラッチ
2801 バタフライスティング
2901 スクリューフライアー
2A01 ダイヤネイル
2B01 タイガーネイル
2C01 ドラゴンクロー
2D01 スタンチェック
2E01 クロスチェイサー
2F01 ブリーフマーカー
3001 ジャンクケース
3101 薔薇の蔓
3201 ワッチガード
3301 ワイドロープ
3401 ベイナビル
3501 フォーチュンフィール
3601 スパイラルバックル
3701 アンチチャージャ
3801 チェーンスクェア
3901 スピリットオブコマーシャル
3A01 大道無門
3B01 千里靴
3C01 トラップリビーラ
3D01 トリップライダー
3E01 ザ・ストライダー
3F01 紅い筋
4001 夜明けの瞳
4101 シャドウエンブレム
4201 ペンタサークル
4301 鳳凰章
4401 ジェノスター
4501 ゴーストアンブル
4601 ピエンドルガン
4701 デビルネック
4801 スターリンク
4901 ワームブリーズ
4A01 ホロウサークルズ
4B01 エーデルゴンド
4C01 ドワーフバインダー
4D01 ブルンの印章
4E01 タートクラフトの婚約指輪
4F01 ニムラスの髭
5001 ハードフィスト
5101 ファインティップ
5201 ネクロキャビティ
5301 アンクイヤリング
5401 エスト・ベル
5501 女神の深さ
5601 ファインウィスパー
5701 ヒーローズプルーフ
5801 ホワイトオーラ
5901 妖精のマント
5A01 テープシェーダー
5B01 ホーリストロール
5C01 平民の夢
5D01 トロールフリース
5E01 ダイヤモンドレザー
5F01 ドレイクハスク
6001 タートルシェル
6101 セーフケージ
6201 トラルの遺産
6301 レイメントオブザード
6401 サンダープレート
6501 ブリスククラマー
6601 クルブームの皮
6701 オフィシャルリーグ
6801 ジュストプレート
6901 ムーンライトストーカー
6A01 バディトラスト
6B01 ウィズダムカバー
6C01 セラフの御加護
6D01 飛虎
6E01 トランクベアー
6F01 エリプト・スタイル
7001 プリティミア
7101 ホワイトスノウ
7201 ピューリプドレイプ
7301 サウリアンの皮
7401 オルクリスト
7501 アンドゥリル
7601 エクスカリバー
7701 フレアークレセント
7801 秋風落葉
7901 レムフェアバルター
7A01 一枝梅の刀
7B01 オールドガーマ
7C01 パイソンレイザー
7D01 ブラッドウィスカー
7E01 ワイドハンド
7F01 ゴーファの希望
8001 薪割り斧
8101 アイアンパイ
8201 ドラケネムファンガー
8301 ブルンの紋章
8401 デバインフォートレス
8501 フィンプレート
8601 フォースフィールド
8701 ソードブロッカー
8801 ぺディグリード
8901 ドラゴンスレイヤー
8A01 ザウバモルダー
8B01 シュタインハンダー
8C01 ビッグ・セイジ
8D01 ガイスターストック
8E01 ゴールデンクリーバー
8F01 コスウェール
9001 ルーム杖
9101 ワンダーワンド
9201 ガンバンティン
9301 マウンテンクライマー
9401 カースドブラッド
9501 バイパートゥース
9601 トラップバイト
9701 シルバリンの牙
9801 クルアルスクィーザー
9901 ブランブルサップ
9A01 ラディカルピルグリム
9B01 ハノブツール
9C01 オーシャンズハザード
9D01 ライトリーパ
9E01 トリプルスター
9F01 ライトセイヴィア
A001 ロフトピース
A101 シュトラディバリの悲劇
A201 精霊の翼
A301 エア・ウェイダー
A401 セフィロスの葉
A501 へヴンスエンボィ
A601 ケルップの光彩
A701 マッドホーネット
A801 スプリッター
A901 ブラック・ソーン
AA01 バックドラフト
AB01 ゴルゴンボール
AC01 サスクェチャ
AD01 ルインドライバー
AE01 リングスライサー
AF01 シャープベンダー
B001 レンジャース・ギア
B101 ストーンボウ
B201 ファルコタロン
B301 ゴア・スパウト
B401 アルバトロス
B501 ドルメンの羽
B601 ホークアイ
B701 スタビライザー
B801 ストロングミサイル
B901 バーニングリット
BA01 ベイパーボルト
BB01 フロストバイト
BC01 聖なる槍
BD01 セヴァーファイル
BE01 ウィンタークロウ
BF01 レッドスペイダー
C001 ポーラ・ピン
C101 ホースキラー
C201 タイダルポスト
C301 ダブルファング
C401 ビッグアイの見張り
C501 青龍偃月刀
C601 ノトリアス・ディケイ
C701 ボア・クラン
C801 エイムスポット
C901 ゼーレクラン
CA01 サイレントビブラ
CB01 ボーンパイプ
CC01 レミネッサ
CD01 ハイ・コンパス
CE01 萬波息笛
CF01 ダビッドの名声
D001 ヘンジュウ大捷
D101 ラットスキン
D201 蝿殺し
D301 ドゥームキャスター
D401 手榴弾
D501 液化窒素瓶
D601 催涙弾
D701 石ころ
D801 エクインシェル
D901 ナパーム弾
DA01 セーラーロッド
DB01 カザヤンの棒
DC01 アルティビオルガナイザー
DD01 アンプリファイアー
DE01 シャインスィング
DF01 調練鞭
E001 イクストラクター
E101 スネークボーン
E201 ローズソーン
E301 バルロッグの指
E401 練習用両手持ち剣
E501 強化弓
E601 強化ヘッドギア
E701 偉い兜
E801 冕冠
E901 鱗グローブ
EA01 武道グローブ
EB01 鱗ベルト
EC01 鎖輪のベルト
ED01 ゴールドベルト
EE01 鱗シューズ
EF01 ゴールドシューズ
F001 リングメイル
F101 銅の鎧
F201 ブリガンディン
F301 コンポジットアーマー
F401 メディアムソード
F501 ハイ・ソード
F601 クリスタルソード
F701 カラベラ
F801 シャムシール
F901 タルワール
FA01 レイピア
FB01 タウンソード
FC01 ハンガー
FD01 クリスナーガ
FE01 エンシェントソード
FF01 スパタ
0002 タバール
0102 ラウンドシールド
0202 スキュトゥム
0302 ヒーターシールド
0402 ファビス
0502 アスピス
0602 イージス
0702 パーリングダガー
0802 グレートソード
0902 チャンピオンソード
0A02 エリートソード
0B02 タイタンブレード
0C02 スレイヤーソード
0D02 半月斧
0E02 巨人の斧
0F02 木の杖
1002 短い杖
1102 ハイ・スタッフ
1202 鋼の杖
1302 高位魔法杖
1402 青銅の牙
1502 鋼の牙
1602 合金の牙
1702 白金の牙
1802 金剛石の牙
1902 木の棍棒
1A02 強化鉄槌
1B02 モール
1C02 グレートモール
1D02 モルゲンシュテルン
1E02 スカージ
1F02 神聖なるホール
2002 領主のホール
2102 帝王のホール
2202 黄銅の翼
2302 青銅の翼
2402 鋼の翼
2502 隕鉄の翼
2602 黒檀の翼
2702 チタニウムの翼
2802 金剛石の翼
2902 戦闘ダート
2A02 投げ短剣
2B02 手裏剣
2C02 戦闘ブーメラン
2D02 アチコ
2E02 ハチェット
2F02 ボーディングアックス
3002 バトルチャクラム
3102 補強された弓
3202 軽い弓
3302 中間弓
3402 狩猟の弓
3502 重い弓
3602 巨大弓
3702 小さい戦闘用弓
3802 長い戦闘用弓
3902 小型の攻城用弓
3A02 大型の攻城用弓
3B02 ショートパイク
3C02 ファランクス
3D02 銛
3E02 スパチューム
3F02 ヴージュ
4002 戦闘用パイク
4102 ビル
4202 黒曜石の翼
4302 ハイフルート
4402 ベースクラリネット
4502 テナーオーボエ
4602 ソプラノリコーダ
4702 松葉の笛
4802 洞簫
4902 パワースリング
4A02 キルトスリング
4B02 パッチワークスリング
4C02 ミックススリング
4D02 毛皮製スリング
4E02 アリゲータースリング
4F02 スプリングスリング
5002 スタッドスリング
5102 メタルスリング
5202 ミスリルスリング
5302 スモールワンド
5402 キュービックワンド
5502 クリスタルワンド
5602 スターワンド
5702 指揮刀
5802 トランシャン
5902 メガホンワンド
5A02 マジックワンド
5B02 ミラクルワンド
5C02 アークロッド
5D02 ダブルウィップ
5E02 ボーンウィップ
5F02 スチールウィップ
6002 ボーンブレードウィップ
6102 ハデスウィップ
7602 病気のコボルトの服
7702 蜘蛛の糸の塊
7802 羽
7902 硬い亀の甲羅
7A02 リュックサック
7B02 犬の遺骸
7C02 大きな木の枝
7D02 小さな物入れ袋
7E02 手紙
7F02 エルフの弓
8002 毒針
8102 伝道師のマント
8202 卵の殻
8302 古い杖
8402 鳥の羽
8502 大きな蜘蛛の糸
8602 バインダーの骨の欠片
8702 飛海月のサンプル
8802 硬い皮
8902 メロウの硬い鱗
8A02 スパイクワームの触手
8B02 読めない巻物
8C02 暗号解析文
8D02 キングクラブの殻
8E02 フラムベルの日誌
8F02 火袋
9002 毒袋
9102 リザードキリングの体の一部
9202 燃え尽きた骨の欠片
9302 テインの小さなカバン
9402 テインの日記
9502 黒魔術書の一部
9602 ロックゴーレムの一部
9702 とても重い小包
9802 物品受け取り確認証
9902 シンクさんの手紙
9C02 放送用アイテム
9D02 イフリィトの心臓
9E02 イスペンドの弓
9F02 イストゥールの弓
A002 十字の印章が押された手紙
A102 子供キャンディー
A202 消えたアイテム03
A302 精製された刃油
A402 精製された鎧油
A502 巨竜の血
A602 巨竜の牙
A702 巨竜の爪
A802 巨竜の心臓
A902 装備初心者バッジ
AA02 装備中級者バッジ
AB02 装備熟練者バッジ
AC02 ムーンストーン｢新月｣
AD02 ムーンクリスタル｢新月｣
AE02 完全復活巻物
AF02 ポータル・ジェム
B002 ポータル・オーブ
B102 ポータル・スフィアー
B202 妖精の刃油
B302 妖精の鎧油
B402 古代竜の血
B502 古代竜の牙
B602 古代竜の爪
B702 古代竜の心臓
B802 装備達人バッジ
B902 装備導師バッジ
BA02 ムーンストーン｢上弦｣
BB02 ムーンストーン｢満月｣
BC02 ムーンストーン｢下弦｣
BD02 ムーンクリスタル｢上弦｣
BE02 ムーンクリスタル｢満月｣
BF02 ムーンクリスタル｢下弦｣
C002 ムーンストーン｢蝕｣
C102 ムーンクリスタル｢蝕｣
C202 ムーンストーン｢大満月｣
C302 ムーンクリスタル｢大満月｣
C402 スキル再配分巻物
C502 ステータス再配分巻物
C602 魔法のカーペット召喚巻物
D102 ポータル福券
D402 ワイルドキャットのエンブレム
D502 重たい銭袋
D602 リトルエント木材
D702 イリュージョンの霊魂
D802 エルフ冒険家の武器
D902 蜂蜜のつぼ
DA02 鉄の塊
DB02 エンチャント文書セット
DC02 力のエンチャント水晶
DD02 素早さのエンチャント水晶
DE02 健康のエンチャント水晶
DF02 知恵のエンチャント水晶
E002 知識のエンチャント水晶
E102 カリスマのエンチャント水晶
E202 運のエンチャント水晶
E302 ダメージのエンチャント水晶
E402 防御力のエンチャント水晶
E502 体力のエンチャント水晶
E602 CPのエンチャント水晶
E702 火攻撃のエンチャント水晶
E802 水攻撃のエンチャント水晶
E902 風攻撃のエンチャント水晶
EA02 大地攻撃のエンチャント水晶
EB02 光攻撃のエンチャント水晶
EC02 闇攻撃のエンチャント水晶
ED02 火抵抗のエンチャント水晶
EE02 水抵抗のエンチャント水晶
EF02 風抵抗のエンチャント水晶
F002 大地抵抗のエンチャント水晶
F102 光抵抗のエンチャント水晶
F202 闇抵抗のエンチャント水晶
F302 武器交換のエンチャント水晶
F402 リロード時間のエンチャント水晶
F502 オートリロードのエンチャント水晶
F602 地獄の鉄床
F702 超強力ボンド
FA02 小さなエンチャント文書セット
FB02 力のバッジ
FC02 敏捷のバッジ
FD02 健康のバッジ
FE02 知恵のバッジ
FF02 知識のバッジ
0003 カリスマのバッジ
0103 幸運のバッジ
0203 小力のバッジ
0303 小敏捷のバッジ
0403 小健康のバッジ
0503 小知恵のバッジ
0603 小知識のバッジ
0703 小カリスマのバッジ
0803 小幸運のバッジ
0903 巨人のバッジ
0A03 韋駄天のバッジ
0B03 根性のバッジ
0C03 思いやりのバッジ
0D03 通札力のバッジ
0E03 畏敬のバッジ
0F03 運命のバッジ
1003 大熊のバッジ
1103 速駆けのバッジ
1203 頑強のバッジ
1303 深慮のバッジ
1403 知能のバッジ
1503 美しさのバッジ
1603 運気のバッジ
1703 気力のバッジ
1803 命のバッジ
1903 意志のバッジ
1A03 生存のバッジ
1B03 防御（小）のバッジ
1C03 豊かさのバッジ
1D03 闊達さのバッジ
1E03 達人のバッジ
1F03 名人のバッジ
2003 大家のバッジ
2103 RED STONEのバッジ
2203 暖かいバッジ
2303 冷たいバッジ
2403 そよ風のバッジ
2503 腐ったバッジ
2603 新芽のバッジ
2703 ターバン
2803 チャドル
2903 魔法のボンド
2A03 天上の鉄床
3003 岩塩
3103 鉄鉱石
3203 書き散らした契約書
3303 エルフリーダーの剣
3403 吸血鬼の首
3503 吸血鬼ケブルの首
3603 ブラウンベアーの皮
3703 冒険家アベルのバンダナ
3803 ティアラの手紙
3903 野良犬の牙
3D03 神獣のバッジ
3E03 神速のバッジ
3F03 強靭のバッジ
4003 理解深さのバッジ
4103 悟りのバッジ
4203 人徳のバッジ
4303 女神のバッジ
4403 魂のバッジ
4503 生命力のバッジ
4603 防御（中）のバッジ
4703 満ちたバッジ
4803 活気のバッジ
4903 火炎のバッジ
4A03 寒気のバッジ
4B03 爆風のバッジ
4C03 毒薬のバッジ
4D03 煌きのバッジ
4E03 装備仙人のバッジ
4F03 装備神仙のバッジ
5003 暗殺者の剣
5103 読みづらい日記帳
5203 マルコムの剣術教本
5303 キングクラブの甲羅
5403 ワイルドハンターの弓
5503 悪魔の本第1巻
5603 悪魔の本第2巻
5703 悪魔の本第3巻
5803 オーガオフィサーの耳飾
5903 傭兵指南書
5A03 追放天使の本
5C03 ブラウンベアーの血
5D03 警備兵の墓の完成された地図
5E03 古代ヴァンパイアの目
5F03 鋼鉄原石
6003 油虫が乗っている葡萄の蔓
6103 リーチの粘液
6203 フェイズスパイダの粘液
6303 油虫キラースプレー
6403 空きワイン瓶
6503 クレミ・レニョールのワイン瓶
6603 ハルウィンの手紙
6703 クローラーの粘液
6803 ギルドレベルアップのチケット
6903 ギルド作成チケット
6A03 フォームガードの模造品
6B03 鳳凰章の模造品
6C03 熊の肝
6D03 コボルトの身体標本
6E03 大型骸骨の身体標本
6F03 ロックゴーレムの身体標本
7003 ゴートマンの角
7103 象牙色胸装飾
7203 鷲闘士のしっぽ羽毛
7303 高級の羽装飾
7403 サイドウォーカーの殻
7503 高級ボタン
7603 シェラザードの手紙
7703 8階移動呪文書
7803 16階移動呪文書
7903 新規会員名簿
7A03 新規会員処理名簿－ブルンネンシュティグ
7B03 新規会員処理名簿－ハノブ
7C03 新規会員処理名簿－アウグスタ
7D03 新規会員処理名簿－ブリッジヘッド
7E03 アリアン銀行帳簿
7F03 バンダナDX
8003 皮の帽子DX
8103 ヘッドギアDX
8203 強化ヘッドギアDX
8303 鉄の帽子GDX
8403 兜GDX
8503 偉い兜GDX
8603 大型の兜GDX
8703 ジャイアント兜XLS
8803 サークレットLX
8903 花冠LX
8A03 ティアラGDX
8B03 冕冠XLS
8C03 王冠XLS
8D03 皮のグローブDX
8E03 戦闘用グローブDX
8F03 鱗グローブDX
9003 チェーングローブGDX
9103 ガントレットXLS
9203 鋲付きグローブDX
9303 格闘用グローブDX
9403 武道グローブGDX
9503 槍投擲機LX
9603 クローDX
9703 バグナクDX
9803 鉄のクローGDX
9903 手首保護帯LX
9A03 バングルLX
9B03 ブレスレットGDX
9C03 リストバンドLX
9D03 腕輪LX
9E03 リストチェーンLX
9F03 ベルトDX
A003 胴巻きDX
A103 レザーベルトDX
A203 鱗ベルトDX
A303 強化ベルトGDX
A403 チェーンベルトGDX
A503 鎖輪のベルトGDX
A603 鉄板ベルトXLS
A703 ゴールドベルトXLS
A803 草鞋DX
A903 クロスシューズDX
AA03 レザーシューズDX
AB03 鱗シューズDX
AC03 強化シューズDX
AD03 チェーンシューズGDX
AE03 メタルシューズGDX
AF03 ゴールドシューズXLS
B003 首飾りLX
B103 ネックレスLX
B203 スカルネックレスGDX
B303 ペンダントXLS
B403 勲章XLS
B503 お守りLX
B603 レザーカラーDX
B703 鋲付きカラーDX
B803 メタルカラーGDX
B903 スパイクカラーXLS
BA03 リングLX
BB03 スカルリングLX
BC03 スパイラルリングLX
BD03 ダブルリングLX
BE03 スタンプリングLX
BF03 セッティングリングXLS
C003 レザーリングDX
C103 バトルリングDX
C203 イヤリングLX
C303 ボーンイヤリングLX
C403 クロスイヤリングLX
C503 ダブルイヤリングLX
C603 チェーンイヤリングLX
C703 ジャイアントイヤリングLX
C803 マントDX
C903 ケープDX
CA03 クロークDX
CB03 ローブDX
CC03 コートDX
CD03 布の服DX
CE03 レザーアーマーDX
CF03 鋲付きレザーアーマーDX
D003 リングメイルDX
D103 地下10階移動呪文書
D203 メタルスケールアーマーDX
D303 銅の鎧DX
D403 ブレストプレートDX
D503 クィレスGDX
D603 ホバークGDX
D703 ライトアーマーLX
D803 ハーフプレートアーマーGDX
D903 ブリガンディンGDX
DA03 チェーンメイルGDX
DB03 ドラゴンスキンアーマーLX
DC03 プレートメイルGDX
DD03 コンポジットアーマーGDX
DE03 フルプレートアーマーXLS
DF03 ミスリルコートXLS
E003 ショルダーパッドDX
E103 ロングコートLX
E203 エンジェルプレートLX
E303 格闘服DX
E403 ウッドアーマーDX
E503 ロマアーマーLX
E603 ミニドレスLX
E703 プリンセスドレスLX
E803 ウェディングドレスLX
E903 デビルメイルLX
EA03 ショートソードDX
EB03 メディアムソードDX
EC03 ロングソードGDX
ED03 ハイ・ソードGDX
EE03 ブロードソードXLS
EF03 クリスタルソードXLS
F003 半月刀DX
F103 カラベラDX
F203 騎兵刀DX
F303 シャムシールDX
F403 偃月刀GDX
F503 タルワールGDX
F603 ソードスティックDX
F703 レイピアDX
F803 スモールソードDX
F903 タウンソードDX
FA03 カトラスDX
FB03 ハンガーDX
FC03 クリスLX
FD03 クリスナーガLX
FE03 チンクェディアLX
FF03 エンシェントソードLX
0004 グラディウスGDX
0104 スパタGDX
0204 ハンドアックスDX
0304 タバールGDX
0404 サークルシールドDX
0504 ラウンドシールドDX
0604 ビッグシールドDX
0704 スキュトゥムDX
0804 カイトシールドGDX
0904 ヒーターシールドGDX
0A04 タワーシールドGDX
0B04 ファビスGDX
0C04 スパイクシールドLX
0D04 アスピスLX
0E04 ディフェンダーXLS
0F04 イージスXLS
1004 マインゴーシュLX
1104 パーリングダガーLX
1204 練習用両手持ち剣DX
1304 バスタードソードDX
1404 両手持ち剣DX
1504 グレートソードDX
1604 ツヴァィハンダーGDX
1704 チャンピオンソードGDX
1804 クレイモアGDX
1904 エリートソードGDX
1A04 フランベルジュLX
1B04 タイタンブレードLX
1C04 エクゼキューショナーズソードXLS
1D04 スレイヤーソードXLS
1E04 グレートアックスDX
1F04 半月斧DX
2004 バトルアックスGDX
2104 巨人の斧XLS
2204 杖LX
2304 木の杖LX
2404 小さい杖 LX
2504 短い杖LX
2604 長い杖 GDX
2704 ハイ・スタッフGDX
2804 山登り杖DX
2904 鋼の杖GDX
2A04 魔法の杖 XLS
2B04 高位魔法杖XLS
2C04 牙DX
2D04 青銅の牙DX
2E04 鉄の牙DX
2F04 鋼の牙DX
3004 銀の牙DX
3104 合金の牙GDX
3204 金の牙GDX
3304 白金の牙XLS
3404 金剛石の牙XLS
3504 棍棒DX
3604 木の棍棒DX
3704 メイスDX
3804 強化鉄槌DX
3904 ハンマーDX
3A04 モールDX
3B04 ウォーハンマーGDX
3C04 グレートモールGDX
3D04 モーニングスターDX
3E04 モルゲンシュテルンGDX
3F04 殻竿DX
4004 スカージGDX
4104 聖水撒きXLS
4204 神聖なるホールXLS
4304 ホールLX
4404 領主のホールLX
4504 戦闘用ホールLX
4604 帝王のホールLX
4704 銅の翼DX
4804 黄銅の翼DX
4904 青銅の翼LX
4A04 鉄の翼LX
4B04 鋼の翼LX
4C04 隕鉄の翼LX
4D04 銀の翼LX
4E04 黒檀の翼LX
4F04 金の翼GDX
5004 黒曜石の翼GDX
5104 プラチナの翼GDX
5204 チタニウムの翼XLS
5304 金剛石の翼XLS
5404 ダートDX
5504 戦闘ダートDX
5604 短剣DX
5704 投げ短剣DX
5804 小型手裏剣DX
5904 手裏剣DX
5A04 ブーメランLX
5B04 戦闘ブーメランLX
5C04 ボウラスDX
5D04 アチコDX
5E04 トマホークGDX
5F04 ハチェットGDX
6004 フランシスカGDX
6104 ボーディングアックスGDX
6204 チャクラムXLS
6304 バトルチャクラムXLS
6404 小型の弓DX
6504 強化弓DX
6604 補強された弓DX
6704 合成の弓DX
6804 軽い弓DX
6904 中間弓DX
6A04 狩りの弓GDX
6B04 狩猟の弓GDX
6C04 重い弓LX
6D04 長い弓LX
6E04 巨大弓LX
6F04 小さい戦闘用弓GDX
7004 戦闘用の弓GDX
7104 長い戦闘用弓GDX
7204 小型の攻城用弓XLS
7304 大型の攻城用弓XLS
7404 矢DX
7504 石の矢DX
7604 軽めの矢DX
7704 重めの矢GDX
7804 鉄の矢GDX
7904 火の矢LX
7A04 毒の矢LX
7B04 氷の矢LX
7C04 ショートスピアDX
7D04 ショートパイクDX
7E04 フィルルムLX
7F04 投げ槍LX
8004 ロングスピアDX
8104 ファランクスDX
8204 三枝槍DX
8304 銛DX
8404 グレイプDX
8504 ウィングスピアDX
8604 二枝槍DX
8704 コルセスカDX
8804 スパチュームDX
8904 斧槍GDX
8A04 ヴージュGDX
8B04 超長槍GDX
8C04 戦闘用パイクGDX
8D04 パルチザンGDX
8E04 ビルXLS
8F04 ランスXLS
9004 笛LX
9104 ハイフルートLX
9204 クラリネットLX
9304 ベースクラリネットLX
9404 オーボエLX
9504 テナーオーボエLX
9604 リコーダGDX
9704 ソプラノリコーダGDX
9804 葉っぱ笛GDX
9904 松葉の笛GDX
9A04 竹笛XLS
9B04 洞簫XLS
9C04 スリングGDX
9D04 パワースリングGDX
9E04 キルトスリングGDX
9F04 布製スリングGDX
A004 パッチワークスリングXLS
A104 ミックススリングXLS
A204 レザー製スリングXLS
A304 毛皮製スリングXLS
A404 アリゲータースリングXLS
A504 ラバースリングXLS
A604 スプリングスリングXLS
A704 スタッドスリングXLS
A804 チェーンスリングXLS
A904 メタルスリングXLS
AA04 ミスリルスリングXLS
AB04 ファイアーボトルLX
AC04 アイスボトルLX
AD04 ポイズンボトルLX
AE04 石弾DX
AF04 鉄弾GDX
B004 爆弾XLS
B104 棒LX
B204 スモールワンドLX
B304 キュービックワンドLX
B404 タクトLX
B504 クリスタルワンドLX
B604 スターワンドLX
B704 スペシャルタクトDX
B804 指揮刀DX
B904 トランシャンDX
BA04 マジカルマイクDX
BB04 メガホンワンドGDX
BC04 マジックワンドGDX
BD04 クラウンワンドGDX
BE04 ミラクルワンドXLS
BF04 アークロッドXLS
C004 レザーウィップDX
C104 ダブルウィップDX
C204 リヴェットウィップDX
C304 ボーンウィップLX
C404 チェーンウィップDX
C504 スチールウィップGDX
C604 ブレードウィップGDX
